date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:25:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202020%2015:55:44%20GMT	http://www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.cleanipedia.com%2Fgb%2Ffamily%2Fhow-to-reduce-pet-dander-in-your-home.html%3Futm_source%3Dpinterest%26utm_medium%3Dsocial%26utm_campaign%3Dshareurlbuttons&description=Living%20with%20fluffy%20companions%20and%20a%20pet%20dander%20allergy%20is%20possible!%20Read%20on%20for%20some%20tips%20on%20reducing%20pet%20dander%20in%20the%20home%2C%20including%20cleaning%20advice.&media=https://www.cleanipedia.com/images/v2/92d8e40a1e0048a2f6901223d6e783d8-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.pinterest.com/pin/create/button/indexb646.html	(from https://www.cleanipedia.com/gb/family/how-to-reduce-pet-dander-in-your-home.html)
21:25:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202020%2015:55:45%20GMT	http://www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.cleanipedia.com%2Fgb%2Ffamily%2Fhow-to-get-baby-food-stains-out-of-clothes.html%3Futm_source%3Dpinterest%26utm_medium%3Dsocial%26utm_campaign%3Dshareurlbuttons&description=Dinnertime%20for%20babies%20is%20a%20messy%20business%2C%20but%20don't%20worry%20we%20have%20some%20great%20baby%20food%20stain%20removal%20tips%20to%20help%20you%20effectively%20remove%20any%20stubborn%20stains!&media=https://www.cleanipedia.com/images/v2/b9a04606c4e7c7463a969686079f691c-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.pinterest.com/pin/create/button/index1b57.html	(from https://www.cleanipedia.com/gb/family/how-to-get-baby-food-stains-out-of-clothes.html)
21:25:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202020%2015:55:48%20GMT	http://www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.cleanipedia.com%2Fgb%2Ffamily%2Ftips-on-removing-baby-poop-stains.html%3Futm_source%3Dpinterest%26utm_medium%3Dsocial%26utm_campaign%3Dshareurlbuttons&description=Learn%20how%20to%20get%20poop%20stains%20out%20of%20baby%20clothes%20with%20this%20handy%20guide.&media=https://www.cleanipedia.com/images/v2/a757e708c9aab0c12780565399e2e928-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.pinterest.com/pin/create/button/indexfef5.html	(from https://www.cleanipedia.com/gb/family/tips-on-removing-baby-poop-stains.html)
21:25:47	49185/49185	---M--	200	added ('OK')	image/jpeg	etag:%224bcdcd74ba020ec7d4cb747ad1cb8783%22	https://www.cleanipedia.com/images/v2/b9a04606c4e7c7463a969686079f691c-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/b9a04606c4e7c7463a969686079f691c-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/how-to-get-baby-food-stains-out-of-clothes.html)
21:25:47	115416/115416	---M--	200	added ('OK')	image/jpeg	etag:%2207e7591d467d3eeaf7de048d1f5a23ed-1%22	https://www.cleanipedia.com/images/v2/f334116aed6d79b79a0ec3e3366cb9e6-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/f334116aed6d79b79a0ec3e3366cb9e6-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/how-to-organise-the-best-sleepover-ideas-for-a-kids-party.html)
21:25:47	216919/216919	---M--	200	added ('OK')	image/jpeg	etag:%22246784dbdad8cd0b29278cd440030bc3%22	https://www.cleanipedia.com/images/v2/92d8e40a1e0048a2f6901223d6e783d8-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/92d8e40a1e0048a2f6901223d6e783d8-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/how-to-reduce-pet-dander-in-your-home.html)
21:25:47	105777/105777	---M--	200	added ('OK')	image/jpeg	etag:%22f232e43676dde13a0905916dd51db210%22	https://www.cleanipedia.com/images/v2/a757e708c9aab0c12780565399e2e928-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/a757e708c9aab0c12780565399e2e928-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/tips-on-removing-baby-poop-stains.html)
21:25:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202020%2015:55:49%20GMT	http://www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.cleanipedia.com%2Fgb%2Ffamily%2Fremove-dog-smell-from-car-interiors.html%3Futm_source%3Dpinterest%26utm_medium%3Dsocial%26utm_campaign%3Dshareurlbuttons&description=Dogs%20love%20riding%20in%20the%20car%20but%20how%20can%20you%20get%20rid%20of%20'dog%20smell'%20in%20the%20car%3F%20This%20guide%20explains%20what%20'dog%20smell'%20is%20and%20how%20to%20make%20sure%20your%20car%20smells%20fresh.&media=https://www.cleanipedia.com/images/v2/2c147b598ea0a0f2d183bc41b1b7a9cf-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.pinterest.com/pin/create/button/index71eb.html	(from https://www.cleanipedia.com/gb/family/remove-dog-smell-from-car-interiors.html)
21:25:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202020%2015:55:50%20GMT	http://www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.cleanipedia.com%2Fgb%2Ffamily%2Fhow-to-remove-milk-stains-and-spit-up.html%3Futm_source%3Dpinterest%26utm_medium%3Dsocial%26utm_campaign%3Dshareurlbuttons&description=Whatever%20you%E2%80%99re%20feeding%20your%20baby%20%E2%80%93%20milk%20or%20formula%20%E2%80%93%20stains%20often%20occur.%20Learn%20how%20to%20tackle%20milk%20stains%2C%20spit%20up%20stains%20and%20baby%20formula%20stains%20here.&media=https://www.cleanipedia.com/images/v2/d98e1f7c3b0c933a8153e2256616bdeb-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.pinterest.com/pin/create/button/indexe0d2.html	(from https://www.cleanipedia.com/gb/family/how-to-remove-milk-stains-and-spit-up.html)
21:25:50	69893/69893	---M--	200	added ('OK')	image/jpeg	etag:%22e97399df4e63702e4b42f737c6ce82e7%22	https://www.cleanipedia.com/images/v2/2c147b598ea0a0f2d183bc41b1b7a9cf-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/2c147b598ea0a0f2d183bc41b1b7a9cf-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/remove-dog-smell-from-car-interiors.html)
